username;first_name;last_name;email;password;password_confirm;direccion;Arrendatario;999888777
12345678-9;Freddie;Mercury;fmercury@mail.com;1234;1234;123 Queen St.;Arrendatario;929838757
23456789-0;Robert;Plant;rplant@mail.com;1234;1234;456 Rock Ln.;Arrendatario;991358477
34567890-1;James;Hetfield;jhetfield@mail.com;1234;1234;789 Metal Ave.;Arrendatario;777888777
45678901-2;Axl;Rose;arose@mail.com;1234;1234;321 Sunset Blvd.;Arrendatario;999885676
56789012-3;Ozzy;Osbourne;oosbourne@mail.com;1234;1234;555 Paranoid Rd.;Arrendatario;999887776
67890123-4;David;Gilmour;dgilmour@mail.com;1234;1234;777 Comfortably Numb St.;Arrendador;922888767
78901234-5;Kurt;Cobain;kcobain@mail.com;1234;1234;999 Smells Like Teen Spirit Ave.;Arrendador;899888777
89012345-6;Roger;Waters;rwaters@mail.com;1234;1234;444 The Wall Dr.;Arrendador;424888777
90123456-7;Bruce;Dickinson;bdickinson@mail.com;1234;1234;222 Iron Maiden Blvd.;Arrendador;2998887776
01234567-8;Angus;Young;ayoung@mail.com;1234;1234;666 Highway to Hell Rd.;Arrendador;235888777
